cont_comuna,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25,2021-12-26,2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05
El Bosque,26.0,29.0,25.0,19.0,20.0,19.0,63.0,43.0,50.0,30.0,42.0,45.0,46.0,42.0,34.0,58.0,68.0,81.0,63.0,81.0,68.0,45.0,71.0,53.0,59.0,39.0,44.0,36.0,34.0,37.0,31.0,37.0,35.0,39.0,39.0,37.0,16.0,8.0,13.0,17.0,18.0,15.0,23.0,19.0,14.0,20.0,21.0,13.0,13.0,20.0,12.0,11.0,7.0,13.0,12.0,10.0,9.0,10.0,12.0,8.0,14.0,18.0,12.0,13.0,14.0,15.0
El Monte,4.0,6.0,5.0,4.0,4.0,8.0,14.0,12.0,11.0,15.0,14.0,11.0,10.0,8.0,1.0,10.0,18.0,8.0,19.0,16.0,14.0,10.0,19.0,21.0,14.0,11.0,20.0,11.0,11.0,12.0,10.0,9.0,8.0,7.0,8.0,5.0,4.0,9.0,8.0,10.0,1.0,4.0,6.0,3.0,3.0,4.0,3.0,6.0,4.0,7.0,5.0,5.0,6.0,1.0,6.0,2.0,4.0,2.0,1.0,3.0,8.0,3.0,9.0,7.0,3.0,6.0
El Quisco,2.0,1.0,1.0,,,,1.0,1.0,1.0,,,1.0,,,1.0,1.0,,2.0,,1.0,1.0,,1.0,,,,,,1.0,1.0,,,,,,,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Estación Central,44.0,50.0,47.0,41.0,45.0,44.0,67.0,76.0,63.0,80.0,68.0,58.0,66.0,77.0,61.0,74.0,68.0,78.0,67.0,75.0,58.0,54.0,59.0,73.0,79.0,69.0,73.0,59.0,52.0,43.0,56.0,63.0,56.0,60.0,59.0,61.0,34.0,29.0,36.0,25.0,24.0,39.0,16.0,25.0,18.0,26.0,21.0,23.0,17.0,23.0,13.0,14.0,22.0,17.0,17.0,22.0,10.0,12.0,17.0,12.0,18.0,20.0,13.0,20.0,12.0,22.0
Graneros,1.0,,1.0,,1.0,,1.0,,2.0,1.0,,1.0,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
Hualaihué,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hualpén,,2.0,3.0,,2.0,,,,2.0,,2.0,,1.0,1.0,1.0,2.0,1.0,,,1.0,,1.0,1.0,4.0,,1.0,2.0,,2.0,2.0,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,1.0,,,,1.0,,,,,1.0,1.0,,1.0,,,1.0,,,2.0,1.0,,1.0,1.0,2.0,
Huechuraba,18.0,15.0,22.0,17.0,14.0,18.0,47.0,38.0,43.0,38.0,33.0,36.0,45.0,53.0,38.0,48.0,62.0,47.0,61.0,51.0,49.0,31.0,44.0,33.0,29.0,37.0,25.0,26.0,25.0,20.0,34.0,23.0,29.0,37.0,24.0,21.0,13.0,7.0,13.0,10.0,10.0,10.0,10.0,14.0,10.0,15.0,8.0,18.0,9.0,6.0,9.0,9.0,9.0,13.0,8.0,7.0,12.0,13.0,8.0,13.0,12.0,14.0,17.0,11.0,19.0,9.0
Independencia,26.0,17.0,18.0,16.0,13.0,12.0,47.0,40.0,33.0,33.0,32.0,31.0,39.0,38.0,39.0,44.0,59.0,55.0,57.0,42.0,45.0,31.0,40.0,36.0,50.0,54.0,29.0,46.0,29.0,22.0,32.0,29.0,26.0,34.0,25.0,25.0,14.0,9.0,11.0,20.0,15.0,18.0,12.0,13.0,4.0,9.0,7.0,12.0,9.0,8.0,6.0,10.0,9.0,9.0,7.0,9.0,7.0,13.0,5.0,9.0,9.0,15.0,10.0,14.0,10.0,15.0
Iquique,,1.0,,,,,,,,,,,2.0,,2.0,1.0,,2.0,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,
