cont_comuna,prevision,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25,2021-12-26,2021-12-27,2021-12-28
Colina,FONASA,26.0,28.0,33.0,34.0,35.0,36.0,30.0,39.0,59.0,51.0,40.0,52.0,43.0,43.0,52.0,42.0,48.0,68.0,58.0,29.0,23.0,25.0,35.0,28.0,25.0,20.0,23.0,20.0,20.0,27.0,27.0,25.0,28.0,23.0,25.0,18.0,21.0,19.0,18.0,23.0,14.0,14.0,13.0,19.0,18.0,19.0,17.0,13.0,11.0,10.0,13.0,4.0,13.0,11.0,12.0,12.0,13.0,7.0
Colina,ISAPRE,7.0,11.0,7.0,9.0,14.0,14.0,20.0,25.0,18.0,17.0,24.0,24.0,16.0,19.0,18.0,13.0,14.0,25.0,18.0,6.0,4.0,5.0,4.0,6.0,3.0,5.0,3.0,1.0,1.0,2.0,6.0,3.0,5.0,5.0,6.0,7.0,7.0,4.0,2.0,2.0,1.0,1.0,1.0,5.0,4.0,3.0,3.0,5.0,6.0,3.0,2.0,5.0,5.0,7.0,10.0,9.0,6.0,8.0
Colina,NINGUNA,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,1.0,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,
Colina,SISA,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collipulli,FONASA,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,
Coltauco,ISAPRE,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
Combarbalá,DESCONOCIDO,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Con Con,DESCONOCIDO,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Con Con,FONASA,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Con Con,ISAPRE,,,,,,,,,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,1.0,3.0,1.0,1.0
Concepción,DESCONOCIDO,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,
Concepción,FONASA,,1.0,,1.0,,,,,2.0,,,3.0,2.0,,1.0,2.0,,,,1.0,,,,,,2.0,,,,1.0,1.0,2.0,,,1.0,,,,,1.0,,2.0,,1.0,1.0,,,,,,,,,,,,,
Concepción,ISAPRE,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,3.0,,,,1.0,,,,
Conchalí,CAPREDENA,,,,,,,,,,2.0,2.0,4.0,2.0,2.0,2.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conchalí,DESCONOCIDO,1.0,1.0,,,2.0,2.0,,,2.0,2.0,,1.0,3.0,,1.0,2.0,,2.0,5.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,
Conchalí,FONASA,10.0,15.0,22.0,30.0,26.0,31.0,22.0,21.0,27.0,18.0,22.0,21.0,20.0,10.0,16.0,11.0,12.0,29.0,27.0,14.0,14.0,10.0,11.0,7.0,7.0,9.0,4.0,3.0,6.0,1.0,2.0,6.0,9.0,9.0,6.0,7.0,8.0,5.0,3.0,5.0,5.0,7.0,6.0,5.0,4.0,4.0,6.0,11.0,4.0,4.0,6.0,8.0,7.0,6.0,8.0,6.0,2.0,6.0
Conchalí,ISAPRE,5.0,1.0,2.0,3.0,4.0,6.0,3.0,6.0,6.0,4.0,5.0,5.0,6.0,4.0,4.0,4.0,3.0,5.0,7.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,4.0,2.0,,1.0,,,,,,,,,,,1.0,2.0,2.0,2.0,1.0
Conchalí,NINGUNA,,,,1.0,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
