cont_comuna,prevision,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25,2021-12-26,2021-12-27,2021-12-28
Las Cabras,FONASA,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Las Condes,CAPREDENA,,1.0,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,1.0,3.0,3.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Las Condes,DESCONOCIDO,9.0,7.0,13.0,10.0,10.0,19.0,7.0,6.0,11.0,12.0,21.0,22.0,18.0,14.0,12.0,14.0,13.0,30.0,20.0,8.0,7.0,6.0,9.0,6.0,7.0,8.0,7.0,5.0,3.0,6.0,5.0,4.0,7.0,9.0,9.0,8.0,8.0,10.0,5.0,6.0,5.0,5.0,2.0,3.0,2.0,5.0,7.0,6.0,8.0,7.0,9.0,7.0,11.0,10.0,11.0,11.0,9.0,13.0
Las Condes,FONASA,19.0,17.0,28.0,26.0,34.0,42.0,25.0,23.0,34.0,30.0,28.0,26.0,25.0,17.0,16.0,25.0,21.0,45.0,39.0,21.0,14.0,12.0,16.0,18.0,12.0,10.0,12.0,9.0,7.0,6.0,8.0,7.0,8.0,8.0,4.0,5.0,5.0,6.0,2.0,2.0,4.0,4.0,7.0,10.0,5.0,3.0,8.0,5.0,3.0,4.0,5.0,6.0,9.0,7.0,6.0,9.0,4.0,13.0
Las Condes,ISAPRE,32.0,36.0,49.0,74.0,78.0,92.0,85.0,75.0,90.0,80.0,74.0,78.0,69.0,62.0,57.0,55.0,52.0,102.0,80.0,36.0,27.0,24.0,22.0,22.0,19.0,16.0,13.0,10.0,9.0,20.0,16.0,19.0,13.0,14.0,11.0,10.0,12.0,7.0,10.0,11.0,22.0,15.0,13.0,24.0,8.0,12.0,16.0,11.0,7.0,12.0,7.0,17.0,20.0,21.0,24.0,29.0,23.0,34.0
Las Condes,NINGUNA,,,,1.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,1.0,1.0,2.0,,,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,2.0,5.0
Lautaro,FONASA,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebu,FONASA,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
Licantén,FONASA,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limache,DESCONOCIDO,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,
Limache,FONASA,,1.0,1.0,2.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,
Linares,FONASA,1.0,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linares,ISAPRE,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Litueche,FONASA,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Llaillay,FONASA,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Llaillay,ISAPRE,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,
Llanquihue,FONASA,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
Lo Barnechea,DESCONOCIDO,1.0,1.0,1.0,2.0,3.0,8.0,6.0,5.0,6.0,4.0,4.0,3.0,3.0,1.0,,4.0,3.0,7.0,5.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,,,1.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,,1.0,,,1.0,,1.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,2.0,1.0,4.0,5.0
Lo Barnechea,FONASA,6.0,10.0,11.0,13.0,19.0,13.0,10.0,14.0,16.0,11.0,12.0,12.0,10.0,7.0,9.0,9.0,8.0,15.0,16.0,6.0,8.0,6.0,5.0,4.0,6.0,1.0,1.0,,,4.0,3.0,2.0,4.0,3.0,3.0,3.0,1.0,5.0,5.0,6.0,4.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0
Lo Barnechea,ISAPRE,12.0,13.0,9.0,9.0,19.0,32.0,26.0,30.0,26.0,28.0,23.0,27.0,22.0,21.0,22.0,15.0,15.0,26.0,23.0,19.0,13.0,11.0,13.0,15.0,13.0,9.0,3.0,5.0,2.0,10.0,5.0,3.0,4.0,2.0,2.0,4.0,2.0,2.0,3.0,4.0,2.0,3.0,7.0,5.0,3.0,2.0,4.0,3.0,2.0,4.0,5.0,6.0,5.0,8.0,12.0,8.0,15.0,21.0
Lo Barnechea,NINGUNA,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,
Lo Espejo,DESCONOCIDO,1.0,1.0,,2.0,7.0,7.0,4.0,1.0,3.0,3.0,4.0,3.0,1.0,1.0,2.0,1.0,2.0,5.0,4.0,4.0,,,,,1.0,,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,
Lo Espejo,FONASA,12.0,15.0,13.0,36.0,30.0,24.0,28.0,35.0,24.0,33.0,30.0,31.0,36.0,34.0,37.0,30.0,25.0,49.0,37.0,13.0,12.0,11.0,13.0,9.0,9.0,9.0,6.0,5.0,6.0,10.0,11.0,13.0,9.0,5.0,5.0,4.0,8.0,5.0,5.0,7.0,8.0,7.0,4.0,7.0,6.0,3.0,2.0,5.0,4.0,3.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0
Lo Espejo,ISAPRE,,1.0,1.0,2.0,2.0,,1.0,1.0,2.0,,1.0,1.0,2.0,3.0,3.0,2.0,1.0,4.0,3.0,1.0,,,,,,,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,
Lo Prado,DESCONOCIDO,2.0,4.0,3.0,3.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,3.0,,1.0,1.0,2.0,,,1.0,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,1.0,2.0,1.0,1.0,,1.0,,,,,,1.0,1.0,,,,,,2.0,1.0,3.0
Lo Prado,FONASA,11.0,11.0,29.0,19.0,15.0,10.0,8.0,19.0,15.0,15.0,8.0,12.0,12.0,12.0,8.0,11.0,11.0,13.0,13.0,6.0,3.0,8.0,4.0,3.0,5.0,3.0,6.0,5.0,6.0,5.0,4.0,2.0,5.0,5.0,5.0,3.0,8.0,9.0,8.0,6.0,7.0,4.0,4.0,6.0,6.0,7.0,7.0,3.0,2.0,8.0,4.0,7.0,7.0,6.0,7.0,7.0,6.0,3.0
Lo Prado,ISAPRE,4.0,3.0,3.0,,2.0,,2.0,3.0,3.0,1.0,1.0,7.0,3.0,2.0,2.0,2.0,3.0,5.0,6.0,,,1.0,,,1.0,1.0,,2.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,,,,,2.0,3.0,,2.0
Lo Prado,NINGUNA,,1.0,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lolol,FONASA,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,
Longaví,FONASA,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
Lonquimay,FONASA,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
Los Andes,DESCONOCIDO,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Andes,FONASA,,,,1.0,1.0,,2.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Los Andes,ISAPRE,,,,,1.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Los Vilos,CAPREDENA,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Vilos,DESCONOCIDO,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Vilos,FONASA,,,,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,
Los Vilos,ISAPRE,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
Los Álamos,FONASA,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Ángeles,DIPRECA,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Ángeles,FONASA,1.0,,,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,2.0,3.0,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0
Lota,FONASA,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,2.0,,,,
Machalí,DESCONOCIDO,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machalí,FONASA,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,
Machalí,ISAPRE,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
Macul,DESCONOCIDO,1.0,,2.0,3.0,6.0,11.0,6.0,5.0,8.0,10.0,7.0,6.0,3.0,4.0,3.0,4.0,4.0,12.0,7.0,2.0,,1.0,1.0,3.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,2.0,2.0,,,1.0,,1.0,,,,1.0,2.0,2.0,2.0,2.0,2.0,4.0
Macul,FONASA,23.0,24.0,29.0,34.0,38.0,30.0,27.0,29.0,31.0,32.0,23.0,23.0,25.0,23.0,27.0,18.0,18.0,39.0,34.0,14.0,12.0,11.0,15.0,16.0,13.0,9.0,10.0,13.0,9.0,10.0,12.0,14.0,13.0,10.0,9.0,6.0,6.0,4.0,5.0,4.0,2.0,5.0,1.0,3.0,3.0,6.0,5.0,8.0,6.0,11.0,9.0,5.0,6.0,7.0,8.0,8.0,4.0,2.0
Macul,ISAPRE,6.0,6.0,14.0,16.0,18.0,16.0,9.0,11.0,10.0,7.0,6.0,3.0,5.0,3.0,2.0,,3.0,9.0,4.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,,2.0,1.0,2.0,2.0,,1.0,,,,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,5.0,3.0,7.0,3.0,2.0,1.0,,,1.0,1.0,,1.0,1.0
Macul,NINGUNA,,,,,,,,,1.0,,,2.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
Maipú,CAPREDENA,,,,,3.0,,,,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maipú,DESCONOCIDO,5.0,2.0,10.0,13.0,19.0,19.0,8.0,4.0,16.0,10.0,12.0,10.0,16.0,11.0,9.0,11.0,7.0,17.0,24.0,11.0,6.0,5.0,11.0,6.0,12.0,11.0,10.0,5.0,5.0,9.0,5.0,9.0,5.0,7.0,8.0,5.0,6.0,2.0,2.0,2.0,1.0,2.0,,3.0,1.0,2.0,2.0,1.0,,3.0,,1.0,,4.0,6.0,6.0,3.0,3.0
Maipú,DIPRECA,,,,,,,,,1.0,,,,,,,,,3.0,2.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
Maipú,FONASA,101.0,74.0,103.0,121.0,123.0,122.0,89.0,104.0,140.0,119.0,128.0,156.0,123.0,119.0,134.0,140.0,121.0,239.0,224.0,85.0,76.0,72.0,79.0,79.0,84.0,71.0,60.0,49.0,50.0,50.0,52.0,49.0,51.0,50.0,35.0,31.0,34.0,36.0,37.0,27.0,30.0,26.0,13.0,22.0,17.0,25.0,21.0,18.0,18.0,20.0,13.0,14.0,15.0,15.0,21.0,22.0,11.0,24.0
Maipú,ISAPRE,26.0,21.0,29.0,37.0,38.0,44.0,48.0,48.0,44.0,44.0,34.0,43.0,37.0,37.0,43.0,40.0,42.0,63.0,54.0,26.0,26.0,21.0,20.0,19.0,15.0,15.0,13.0,11.0,11.0,14.0,14.0,12.0,14.0,12.0,15.0,11.0,11.0,11.0,11.0,6.0,9.0,8.0,7.0,13.0,9.0,11.0,10.0,9.0,5.0,8.0,6.0,8.0,9.0,9.0,8.0,6.0,8.0,11.0
Maipú,NINGUNA,,1.0,2.0,1.0,4.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,4.0,6.0,4.0,1.0,2.0,4.0,3.0,2.0,,2.0,3.0,3.0,3.0,3.0,2.0,,1.0,4.0,1.0,1.0,1.0,1.0,,,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,1.0,2.0,2.0,1.0,
Maipú,SISA,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maria Pinto,DESCONOCIDO,1.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,1.0,,2.0,2.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,
Maria Pinto,FONASA,5.0,7.0,3.0,6.0,12.0,10.0,19.0,18.0,19.0,15.0,12.0,6.0,3.0,6.0,6.0,2.0,1.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,7.0,7.0,3.0,1.0,,,1.0,,1.0,2.0,,,4.0,2.0,4.0,4.0,3.0,2.0,3.0,1.0,,1.0,,,1.0,2.0,1.0,,,,1.0,1.0,,1.0
Maria Pinto,ISAPRE,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,,,,1.0,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,
Maria Pinto,NINGUNA,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,
Mariquina,FONASA,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maullín,FONASA,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mejillones,FONASA,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melipilla,CAPREDENA,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melipilla,DESCONOCIDO,1.0,2.0,5.0,4.0,4.0,6.0,5.0,5.0,4.0,3.0,3.0,2.0,3.0,1.0,,4.0,1.0,9.0,8.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,,,
Melipilla,FONASA,22.0,23.0,35.0,29.0,35.0,34.0,34.0,33.0,31.0,37.0,40.0,38.0,31.0,33.0,30.0,28.0,30.0,37.0,33.0,19.0,17.0,14.0,24.0,18.0,23.0,19.0,23.0,16.0,14.0,17.0,19.0,12.0,16.0,16.0,7.0,5.0,10.0,7.0,4.0,11.0,9.0,6.0,7.0,13.0,12.0,15.0,14.0,13.0,8.0,9.0,9.0,8.0,8.0,2.0,10.0,8.0,4.0,5.0
Melipilla,ISAPRE,2.0,2.0,2.0,3.0,3.0,3.0,6.0,7.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,2.0,1.0,1.0,,,1.0,,1.0,,1.0,
Melipilla,NINGUNA,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,
Molina,FONASA,1.0,,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Molina,NINGUNA,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monte Patria,FONASA,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mostazal,FONASA,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mostazal,ISAPRE,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mulchén,FONASA,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Nancagua,FONASA,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Nancagua,ISAPRE,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navidad,DESCONOCIDO,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navidad,FONASA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navidad,ISAPRE,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nogales,DESCONOCIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nogales,ISAPRE,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0
Nueva Imperial,FONASA,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olmué,FONASA,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
Olmué,ISAPRE,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,
Osorno,FONASA,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,2.0,2.0,3.0,4.0,3.0,3.0,2.0,1.0,8.0,,6.0,3.0,2.0,7.0,5.0,6.0,1.0,,4.0,2.0,3.0,1.0,2.0,2.0,,1.0,1.0,,,1.0,,,,,,,,,,1.0
Osorno,ISAPRE,,,,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,,4.0,4.0,4.0,3.0,5.0,2.0,2.0,,2.0,1.0,2.0,1.0,,1.0,1.0,,1.0,1.0,2.0,,1.0,2.0,1.0,2.0,2.0,,,,,,1.0,1.0,,,,,,,1.0,
Osorno,NINGUNA,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,
Ovalle,FONASA,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre Hurtado,DESCONOCIDO,1.0,1.0,4.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,,,,,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,
Padre Hurtado,DIPRECA,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre Hurtado,FONASA,37.0,23.0,18.0,15.0,15.0,30.0,25.0,23.0,23.0,45.0,32.0,40.0,34.0,31.0,34.0,22.0,19.0,40.0,35.0,17.0,15.0,18.0,14.0,13.0,11.0,8.0,7.0,4.0,5.0,3.0,4.0,7.0,5.0,4.0,4.0,7.0,2.0,3.0,3.0,6.0,4.0,6.0,5.0,3.0,2.0,8.0,5.0,5.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0
Padre Hurtado,ISAPRE,4.0,3.0,5.0,4.0,5.0,1.0,1.0,4.0,4.0,7.0,8.0,7.0,7.0,12.0,11.0,6.0,5.0,8.0,4.0,1.0,4.0,4.0,3.0,2.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,2.0,1.0,2.0,1.0,1.0,6.0,2.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,,
Padre Hurtado,NINGUNA,,,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padre Las Casas,FONASA,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paiguano,FONASA,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paillaco,FONASA,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paine,DESCONOCIDO,,,1.0,1.0,,,,,,2.0,,1.0,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,1.0
Paine,FONASA,15.0,15.0,17.0,28.0,18.0,22.0,13.0,18.0,21.0,26.0,17.0,25.0,19.0,25.0,25.0,21.0,21.0,26.0,23.0,14.0,7.0,9.0,11.0,13.0,12.0,6.0,8.0,6.0,4.0,4.0,4.0,6.0,6.0,5.0,6.0,10.0,5.0,8.0,7.0,3.0,5.0,9.0,3.0,6.0,8.0,8.0,8.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,6.0,7.0,4.0,7.0
Paine,ISAPRE,1.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,,,,1.0,2.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,1.0,,1.0,,,2.0,1.0,1.0,1.0,,1.0,1.0,2.0,2.0,4.0,3.0
Paine,NINGUNA,,,,2.0,1.0,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,2.0,3.0,2.0,2.0,2.0
Palmilla,FONASA,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panguipulli,FONASA,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paredones,FONASA,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parral,DESCONOCIDO,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parral,FONASA,,,,,,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedro Aguirre Cerda,CAPREDENA,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedro Aguirre Cerda,DESCONOCIDO,1.0,,1.0,,3.0,3.0,2.0,1.0,4.0,3.0,4.0,4.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,,,2.0,3.0,3.0,8.0,6.0,9.0,5.0,2.0,4.0,2.0,,,,,2.0,3.0,2.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
Pedro Aguirre Cerda,DIPRECA,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
