cont_comuna,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25,2021-12-26,2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-08,2022-01-09,2022-01-10
Negrete,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nogales,,,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nueva Imperial,,2.0,,,2.0,,,,,,,,,,,,1.0,3.0,,1.0,3.0,,6.0,,,,,,,,,,,,,,,,,,,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osorno,3.0,6.0,16.0,2.0,3.0,,,,1.0,,,,,1.0,,,1.0,1.0,1.0,3.0,1.0,2.0,6.0,2.0,2.0,6.0,7.0,,7.0,9.0,14.0,5.0,5.0,11.0,6.0,18.0,2.0,2.0,3.0,5.0,1.0,4.0,1.0,3.0,6.0,5.0,5.0,3.0,3.0,1.0,1.0,1.0,2.0,,,2.0,,2.0,,2.0,1.0,,2.0,,1.0,,,,,,
Padre Hurtado,16.0,19.0,12.0,7.0,14.0,13.0,55.0,80.0,51.0,79.0,64.0,53.0,63.0,49.0,40.0,23.0,50.0,44.0,38.0,59.0,52.0,60.0,51.0,55.0,47.0,47.0,79.0,58.0,48.0,71.0,44.0,49.0,48.0,21.0,51.0,28.0,11.0,13.0,15.0,8.0,18.0,26.0,13.0,11.0,31.0,14.0,11.0,23.0,12.0,21.0,8.0,14.0,10.0,5.0,10.0,10.0,15.0,6.0,10.0,10.0,5.0,9.0,26.0,5.0,12.0,16.0,10.0,26.0,20.0,25.0,35.0
Padre Las Casas,1.0,2.0,1.0,2.0,2.0,,,,,,,3.0,,,3.0,,,,,2.0,1.0,,2.0,2.0,,1.0,1.0,1.0,2.0,,1.0,1.0,,,1.0,,,,,4.0,,1.0,,,1.0,,1.0,2.0,,1.0,,,,,2.0,,1.0,2.0,,1.0,,3.0,,,3.0,,3.0,1.0,,3.0,3.0
Paillaco,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,
Paine,31.0,27.0,23.0,37.0,32.0,9.0,31.0,34.0,43.0,45.0,47.0,30.0,39.0,42.0,37.0,41.0,32.0,38.0,45.0,40.0,29.0,35.0,31.0,24.0,27.0,20.0,35.0,30.0,10.0,48.0,37.0,25.0,52.0,28.0,35.0,45.0,17.0,18.0,6.0,13.0,7.0,13.0,16.0,10.0,14.0,23.0,12.0,8.0,21.0,10.0,8.0,24.0,19.0,16.0,12.0,11.0,14.0,7.0,6.0,12.0,20.0,17.0,26.0,18.0,17.0,18.0,12.0,24.0,12.0,31.0,21.0
Palmilla,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,2.0,1.0,,2.0,1.0,,,,,,,,,,,,,,
Paredones,2.0,,,2.0,,,,,1.0,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,1.0,,,1.0,,,,,1.0,,,1.0,
